TestcaseName,StepDesc,ControlID,ControlAction,Data,Expected
Register with unregistered account,Enter My Account Page,btnMenuMyAccount,click,,uiviewMyAccount
,Enter Login Page,tablecellMyAccountLogin,click,,uiviewLogIn
,Enter Register Page,btnRegister,click,,btnAgreeAndGetStarted
,Confirm Terms,btnAgreeAndGetStarted,click,,btnTermsOfUse
,Input Email Address,txtfieldEmailAddress,type,test_register@debugtalk.com,
,Input Password,sectxtfieldPassword,type,123456,
,Sign Up,btnSignUp,click,,tablecellMyMessage
,Check if username displayed correctly,inner_screen,has_control,test_register,
,,,,,
Logout,Enter My Account Page,btnMenuMyAccount,click,,uiviewMyAccount
,Enter System Settings,tablecellMyAccountSystemSettings,click,,btnLogout
,Click Logout,btnLogout,click,,Do you want to log out?
,Confirm logout alert,N/A,alert_accept,,tablecellMyAccountLogin
,,,,,
Register with registered account,Enter My Account Page,btnMenuMyAccount,click,,uiviewMyAccount
,Enter Login Page,tablecellMyAccountLogin,click,,uiviewLogIn
,Enter Register Page,btnRegister,click,,btnAgreeAndGetStarted
,Confirm Terms,btnAgreeAndGetStarted,click,,btnTermsOfUse
,Input Email Address,txtfieldEmailAddress,type,test_register@debugtalk.com,
,Input Password,sectxtfieldPassword,type,123456,
,Sign Up,btnSignUp,click,,Account already exists. Please login or retrieve password.||账号已存在，请登录或找回密码
